action,filepath,source,class,reason
removed_blank,RGIIIT/NewFake_W/GAN/0001_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0001_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0002_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0002_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0003_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0003_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0004_brain_brain.gz_slice0.png,GAN,Fake,mean=0.62<5.0; black%=99.6>95.0
removed_blank,RGIIIT/NewFake_W/GAN/0004_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0005_brain_brain.gz_slice0.png,GAN,Fake,mean=0.45<5.0; black%=99.8>95.0
removed_blank,RGIIIT/NewFake_W/GAN/0005_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0006_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0006_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0007_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0007_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0008_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0008_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0009_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0009_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0010_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0010_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0011_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0011_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0012_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0012_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0013_brain_brain.gz_slice0.png,GAN,Fake,mean=1.03<5.0; black%=99.4>95.0
removed_blank,RGIIIT/NewFake_W/GAN/0013_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0014_brain_brain.gz_slice0.png,GAN,Fake,mean=0.34<5.0; black%=99.8>95.0
removed_blank,RGIIIT/NewFake_W/GAN/0014_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0015_brain_brain.gz_slice0.png,GAN,Fake,mean=0.93<5.0; black%=99.5>95.0
removed_blank,RGIIIT/NewFake_W/GAN/0015_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0016_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0016_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0017_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0017_brain_brain.gz_slice162.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
removed_blank,RGIIIT/NewFake_W/GAN/0018_brain_brain.gz_slice0.png,GAN,Fake,mean=0.00<5.0; black%=100.0>95.0; std=0.00<2.0
